Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0420574W;Ecole élémentaire Fauriel;ECOLE ELEMENTAIRE PUBLIQUE;FAURIEL ELEMENTAIRE;Public;16 cours Fauriel;;;42100;ST ETIENNE;Saint-Etienne;809164.0;6482149.1;EPSG:2154;45.43008612486574;4.396130601469769;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4300861249,4.39613060147;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-05
0420674E;Ecole maternelle Soleil;ECOLE MATERNELLE PUBLIQUE;SOLEIL;Public;16 rue de Monteil;;;42000;ST ETIENNE;Saint-Etienne;809844.1;6484185.3;EPSG:2154;45.44830976452828;4.405290181974018;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4483097645,4.40529018197;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-16
0420693A;Ecole primaire d'application Beaulieu 1;ECOLE PRIMAIRE D APPLICATION;BEAULIEU LA TOUR PRIMAIRE;Public;20 rue Henri Dunant;;;42000;ST ETIENNE;Saint-Etienne;810187.6;6481848.7;EPSG:2154;45.42721785811953;4.409150402675103;Correcte;Numéro de rue;153;ECOLE ELEMENTAIRE D APPLICATION;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4272178581,4.40915040268;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-15
0420695C;Ecole maternelle Paillon;ECOLE MATERNELLE PUBLIQUE;PAILLON MATERNELLE;Public;2 A rue Basson;;;42000;ST ETIENNE;Saint-Etienne;807757.4;6482486.4;EPSG:2154;45.433345398218734;4.378220142549494;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4333453982,4.37822014255;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-15
0421038A;Collège privé Les Chartreux-Sainte Famille;COLLEGE PRIVE;LES CHARTREUX-SAINTE FAMILLE;Privé;36 rue DU VERNAY;;;42100;ST ETIENNE;Saint-Etienne;808894.7;6482160.1;EPSG:2154;45.43022797985373;4.392689640429036;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4302279799,4.39268964043;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1943-10-01
0421076S;Ecole maternelle Rosa Park;ECOLE MATERNELLE PUBLIQUE;ROSA PARKS MATERNELLE;Public;5 allée Rachel;;;42100;ST ETIENNE;Saint-Etienne;808021.4;6481433.7;EPSG:2154;45.42382618817036;4.381360506999007;Correcte;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4238261882,4.381360507;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1968-09-27
0421176A;Collège Jules Vallès;COLLEGE;JULES VALLES;Public;3  RUE DU PUITS THIBAUD;;;42000;ST ETIENNE;Saint-Etienne;809463.4;6483919.4;EPSG:2154;45.44597671688978;4.400360397819424;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4459767169,4.40036039782;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-04-10
0421329S;Ecole primaire privée Alix Le Clerc;ECOLE PRIMAIRE PRIVEE;ALIX LE CLERC;Privé;16 rue Jean-Francois Revollier;;;42000;ST ETIENNE;Saint-Etienne;807645.1;6484934.0;EPSG:2154;45.45539934535039;4.3773301044679025;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4553993454,4.37733010447;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-26
0421336Z;Ecole primaire privée St Ennemond;ECOLE PRIMAIRE PRIVEE;ST ENNEMOND;Privé;15 rue Saint Ennemond;;;42000;ST ETIENNE;Saint-Etienne;807979.7;6482653.9;EPSG:2154;45.434818463209005;4.3811002533036705;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4348184632,4.3811002533;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-26
0421337A;Ecole primaire privée de La Salle;ECOLE PRIMAIRE PRIVEE;ENSEMBLE SCOLAIRE LA SALLE;Privé;22 rue Désiré Claude;;;42000;ST ETIENNE;Saint-Etienne;808514.6;6481897.4;EPSG:2154;45.42792310010476;4.387770379164774;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4279231001,4.38777037916;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-26
0421741P;Collège privé Tézenas du Montcel;COLLEGE PRIVE;TEZENAS DU MONTCEL;Privé;14 place GIRODET;;;42000;ST ETIENNE;Saint-Etienne;807914.2;6484115.5;EPSG:2154;45.447987881905675;4.380589476799199;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4479878819,4.3805894768;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1919-11-08
0421744T;Ecole élémentaire Grand Clos;ECOLE ELEMENTAIRE PUBLIQUE;GRAND CLOS ELEMENTAIRE;Public;6 allée Vital Descos;;;42000;ST ETIENNE;Saint-Etienne;807033.7;6483900.1;EPSG:2154;45.446186633332324;4.369279374486381;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4461866333,4.36927937449;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1978-09-01
0421793W;Ecole élémentaire Montat Verrerie;ECOLE PRIMAIRE PUBLIQUE;MONTAT VERRERIE PRIMAIRE;Public;104  RUE DE LA MONTAT;;;42100;ST ETIENNE;Saint-Etienne;810302.5;6483558.4;EPSG:2154;45.44259207131339;4.411010173693918;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4425920713,4.41101017369;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1980-09-01
0422014L;Ecole élémentaire Paillon;ECOLE ELEMENTAIRE PUBLIQUE;PAILLON ELEMENTAIRE;Public;40 rue Paillon;;;42000;ST ETIENNE;Saint-Etienne;807750.4;6482217.2;EPSG:2154;45.43092283357815;4.37807054731589;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4309228336,4.37807054732;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1991-09-01
0422041R;Ecole élémentaire Dora Rivière;ECOLE ELEMENTAIRE PUBLIQUE;DORA RIVIERE ELEMENTAIRE;Public;31 rue Amouroux;;;42100;ST ETIENNE;Saint-Etienne;809508.5;6480401.7;EPSG:2154;45.41429908252439;4.40013936442888;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4142990825,4.40013936443;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1992-09-01
0422091V;Ecole primaire privée Saint Jean Baptiste;ECOLE PRIMAIRE PRIVEE;SAINT JEAN BAPTISTE;Privé;7 boulevard Albert 1er;;;42000;ST ETIENNE;Saint-Etienne;808022.4;6484189.6;EPSG:2154;45.44863797853986;4.381990030024762;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4486379785,4.38199003002;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1994-09-01
0422092W;Ecole primaire privée Saint Charles;ECOLE PRIMAIRE PRIVEE;ST CHARLES;Privé;7 rue Praire;;;42000;ST ETIENNE;Saint-Etienne;808221.3;6483411.4;EPSG:2154;45.441600301765575;4.3843596178749165;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4416003018,4.38435961787;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1994-09-01
0422096A;Ecole élémentaire Jacquard;ECOLE ELEMENTAIRE PUBLIQUE;JACQUARD ELEMENTAIRE;Public;6 rue Victor Duchamp;;;42000;ST ETIENNE;Saint-Etienne;807901.5;6483502.7;EPSG:2154;45.44247270470279;4.380290005475414;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4424727047,4.38029000548;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1995-09-01
0422156R;Ecole primaire Monthieu;ECOLE PRIMAIRE;MONTHIEU PRIMAIRE;Public;3 rue Linossier;;;42100;ST ETIENNE;Saint-Etienne;810785.4;6483312.0;EPSG:2154;45.440295828512646;4.417129634744565;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4402958285,4.41712963474;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1999-09-01
0422181T;Ecole maternelle Montaud;ECOLE MATERNELLE PUBLIQUE;MONTAUD MATERNELLE;Public;5 boulevard Albert 1er;;;42000;ST ETIENNE;Saint-Etienne;808033.0;6484162.7;EPSG:2154;45.44839412122971;4.382119590811147;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4483941212,4.38211959081;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2001-09-01
0422196J;Ecole primaire Paule et Joseph Thiollier;ECOLE PRIMAIRE PUBLIQUE;PAULE ET JOSEPH THIOLLIER;Public;4  RUE RECHATIN;;;42000;ST ETIENNE;Saint-Etienne;808421.4;6484350.5;EPSG:2154;45.45002360195769;4.387129766052625;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.450023602,4.38712976605;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2002-09-01
0420669Z;Ecole maternelle Gaspard Monge;ECOLE MATERNELLE PUBLIQUE;MONGE;Public;21 rue Richelandière;;;42100;ST ETIENNE;Saint-Etienne;809518.8;6483130.3;EPSG:2154;45.43886345874703;4.400889901515445;Correcte;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4388634587,4.40088990152;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-16
0420683P;Ecole maternelle Vivaraize;ECOLE MATERNELLE PUBLIQUE;VIVARAIZE MATERNELLE;Public;4 passage du Pré des Soeurs;;;42100;ST ETIENNE;Saint-Etienne;809550.8;6481416.5;EPSG:2154;45.423428722631456;4.400910254347063;Correcte;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4234287226,4.40091025435;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-16
0420860G;Ecole maternelle Terrenoire Bourg;ECOLE MATERNELLE PUBLIQUE;TERRENOIRE BOURG MATERNELLE;Public;4 rue Emile Jaboulay;TERRENOIRE;;42100;ST ETIENNE;Saint-Etienne;812479.4;6482652.9;EPSG:2154;45.43408605298698;4.438640364930022;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.434086053,4.43864036493;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-09-13
0420863K;Ecole primaire Terrenoire Janon;ECOLE PRIMAIRE PUBLIQUE;TERRENOIRE JANON  PRIMAIRE;Public;4 rue Paul Langevin;TERRENOIRE;;42100;ST ETIENNE;Saint-Etienne;812032.9;6482217.6;EPSG:2154;45.43024010523887;4.432829754627156;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4302401052,4.43282975463;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-09-07
0420697E;Ecole maternelle Alma;ECOLE MATERNELLE PUBLIQUE;ALMA MATERNELLE;Public;3 rue de l'Alma;;;42000;ST ETIENNE;Saint-Etienne;808125.8;6483327.7;EPSG:2154;45.440861801632835;4.383119485877739;Parfaite;Rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4408618016,4.38311948588;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-15
0420817K;Ecole primaire Saint-Victor-sur-Loire;ECOLE PRIMAIRE PUBLIQUE;ST VICTOR BOURG PRIMAIRE;Public;Chemin des Tourettes;;;42100;ST ETIENNE;Saint-Etienne;798846.8;6483539.9;EPSG:2154;45.444173019747936;4.264489434346834;Correcte;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4441730197,4.26448943435;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-09-07
0421352S;Ecole primaire privée Saint André;ECOLE PRIMAIRE PRIVEE;SAINT ANDRE;Privé;1 allée des Emeraudes;;;42000;ST ETIENNE;Saint-Etienne;806363.5;6483867.2;EPSG:2154;45.44599474339562;4.36069997355511;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4459947434,4.36069997356;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-26
0421547D;Ecole élémentaire Terrenoire Bourg;ECOLE ELEMENTAIRE PUBLIQUE;TERRENOIRE BOURG ELEMENTAIRE;Public;3 rue Jaboulay;TERRENOIRE;;42100;ST ETIENNE;Saint-Etienne;812503.0;6482602.1;EPSG:2154;45.43362482403414;4.4389303091964205;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.433624824,4.4389303092;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1974-05-27
0421642G;Ecole primaire Guizay;ECOLE PRIMAIRE;GUIZAY PRIMAIRE;Public;10 rue DU DOCTEUR LAENNEC;;;42100;ST ETIENNE;Saint-Etienne;808989.0;6479788.2;EPSG:2154;45.408858393710325;4.393360192007118;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4088583937,4.39336019201;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1976-05-26
0421706B;Ecole primaire Montreynaud Vivaldi;ECOLE PRIMAIRE PUBLIQUE;MONTREYNAUD VIVALDI PRIMAIRE;Public;Allée Bela Bartok;;;42000;ST ETIENNE;Saint-Etienne;809733.7;6486305.6;EPSG:2154;45.46741691900897;4.404360468204;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.467416919,4.4043604682;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1977-05-23
0421729B;Ecole primaire privée Le Curé d'Ars;ECOLE PRIMAIRE PRIVEE;LE CURE D'ARS;Privé;6 rue Marcellin Champagnat;;;42100;ST ETIENNE;Saint-Etienne;810245.0;6482221.2;EPSG:2154;45.43056230338489;4.409969368879013;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4305623034,4.40996936888;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1977-10-06
0420649C;Ecole maternelle Fauriel;ECOLE MATERNELLE PUBLIQUE;FAURIEL MATERNELLE;Public;32 rue des Francs Maçons;;;42100;ST ETIENNE;Saint-Etienne;809067.1;6482231.3;EPSG:2154;45.430841605702476;4.394910146143815;Correcte;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4308416057,4.39491014614;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-15
0420922Z;Ecole maternelle Métare Réjaillère;ECOLE MATERNELLE PUBLIQUE;METARE REJAILLERE MATERNELLE;Public;1  CHEMIN CLAUDE BERTHIER;;;42100;ST ETIENNE;Saint-Etienne;810818.9;6480621.4;EPSG:2154;45.41606659886441;4.4169405300668725;Correcte;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4160665989,4.41694053007;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-10-05
0421331U;Ecole primaire privée Les Chartreux Sainte-Famille;ECOLE PRIMAIRE PRIVEE;LES CHARTREUX STE FAMILLE;Privé;36 rue du Vernay;;;42100;ST ETIENNE;Saint-Etienne;808894.7;6482160.1;EPSG:2154;45.43022797985373;4.392689640429036;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4302279799,4.39268964043;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-26
0421333W;Ecole primaire privée Institution Saint Paul;ECOLE PRIMAIRE PRIVEE;INSTITUTION ST PAUL;Privé;5 rue Jacques Desgeorges;;;42000;ST ETIENNE;Saint-Etienne;808195.0;6483041.5;EPSG:2154;45.438274165218544;4.383940336383302;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4382741652,4.38394033638;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-26
